
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
409,Anfernee Simons\simonan01,SG,19,POR,8,0,54,6.3,18.8,.333,0.0,6.3,.000,6.3,12.6,.500,0.9,3.6,.250,0.0,6.3,6.3,3.6,0.0,0.0,5.4,2.7,13.5,,61,115
410,Marcus Smart\smartma01,SG,24,BOS,41,21,1074,4.6,11.6,.398,2.5,7.1,.350,2.1,4.5,.475,2.5,3.3,.767,1.4,3.8,5.2,7.6,3.3,0.7,2.7,4.6,14.3,,112,105
411,Dennis Smith\smithde03,PG,21,DAL,28,28,776,8.2,18.4,.443,2.4,6.4,.375,5.8,12.0,.479,3.0,4.5,.681,0.9,3.6,4.5,6.7,2.4,0.6,5.3,4.5,21.8,,96,109
412,Ish Smith\smithis01,PG,30,DET,22,0,537,7.7,18.5,.415,2.3,6.9,.329,5.4,11.7,.465,0.7,1.1,.667,0.1,3.7,3.8,6.0,0.9,0.5,2.3,4.8,18.4,,100,113
413,J.R. Smith\smithjr01,SG,33,CLE,11,4,222,6.1,17.8,.342,2.7,8.8,.308,3.4,9.0,.375,1.8,2.3,.800,0.0,4.1,4.1,4.7,2.5,0.7,2.5,4.3,16.7,,91,118
414,Jason Smith\smithja02,C-PF,32,TOT,15,1,153,5.6,14.0,.400,1.9,4.3,.429,3.7,9.6,.387,3.1,3.7,.833,4.3,9.6,14.0,3.7,0.6,2.2,3.1,7.1,16.1,,105,111
414,Jason Smith\smithja02,C,32,WAS,12,1,130,5.5,13.5,.405,1.5,3.7,.400,4.0,9.9,.407,3.7,4.4,.833,4.0,9.5,13.5,4.4,0.4,1.8,2.6,7.7,16.1,,109,114
414,Jason Smith\smithja02,PF,32,MIL,3,0,23,6.1,16.3,.375,4.1,8.2,.500,2.0,8.2,.250,0.0,0.0,,6.1,10.2,16.3,0.0,2.0,4.1,6.1,4.1,16.3,,83,99
415,Tony Snell\snellto01,SG,27,MIL,41,4,717,6.1,13.5,.449,3.2,8.3,.386,2.9,5.2,.550,1.8,2.0,.900,1.0,4.5,5.6,2.2,0.9,0.6,1.0,3.1,17.1,,118,109
416,Ray Spalding\spaldra01,PF,21,DAL,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,118
417,Omari Spellman\spellom01,PF,21,ATL,25,8,413,5.6,14.5,.385,2.2,6.9,.323,3.3,7.6,.441,2.6,3.3,.767,4.7,6.5,11.2,2.6,1.9,1.6,1.9,3.9,16.0,,108,111
418,Nik Stauskas\stausni01,SG,25,POR,40,0,638,7.0,16.2,.430,3.1,8.9,.350,3.9,7.4,.526,2.4,2.7,.889,0.8,5.1,5.8,4.6,1.0,0.3,3.0,2.3,19.5,,107,113
419,D.J. Stephens\stephdj01,SG,28,MEM,1,0,7,7.2,14.5,.500,0.0,0.0,,7.2,14.5,.500,0.0,0.0,,0.0,0.0,0.0,0.0,7.2,0.0,7.2,0.0,14.5,,59,101
420,Lance Stephenson\stephla01,SG,28,LAL,42,0,643,8.6,19.3,.447,3.0,8.0,.373,5.6,11.3,.500,1.7,2.6,.639,1.4,7.8,9.2,6.1,2.0,0.4,3.6,4.9,21.9,,102,107
421,Edmond Sumner\sumneed01,PG,23,IND,9,0,34,2.9,11.5,.250,1.4,5.8,.250,1.4,5.8,.250,0.0,2.9,.000,2.9,1.4,4.3,1.4,1.4,0.0,5.8,7.2,7.2,,52,111
422,Caleb Swanigan\swanica01,PF,21,POR,16,0,134,4.3,13.7,.316,0.4,1.4,.250,4.0,12.3,.324,2.2,2.5,.857,4.7,13.4,18.1,2.5,1.4,0.0,5.4,6.5,11.2,,76,107
423,Jayson Tatum\tatumja01,SF,20,BOS,41,41,1273,9.3,20.8,.447,2.7,7.3,.370,6.6,13.4,.489,4.0,4.7,.862,1.6,8.3,9.8,2.7,1.7,1.0,2.4,3.3,25.3,,108,105
424,Jeff Teague\teaguje01,PG,30,MIN,27,27,838,6.3,15.4,.407,1.5,4.3,.351,4.8,11.1,.428,4.7,5.6,.827,0.6,3.2,3.8,12.9,1.8,0.7,3.7,3.3,18.7,,111,114
425,Garrett Temple\templga01,SG,32,MEM,41,41,1306,5.6,13.0,.433,2.4,6.7,.353,3.3,6.3,.519,2.1,2.7,.786,0.5,4.5,5.0,2.1,1.8,0.8,1.7,4.5,15.7,,102,109
426,Milos Teodosic\teodomi01,PG,31,LAC,15,0,150,5.4,12.7,.425,3.2,8.6,.370,2.2,4.1,.538,1.3,2.2,.571,1.0,4.1,5.1,10.2,1.0,0.3,6.7,8.6,15.2,,94,115
427,Jared Terrell\terreja01,SG,23,MIN,3,0,26,1.9,22.2,.083,1.9,7.4,.250,0.0,14.8,.000,1.9,3.7,.500,1.9,1.9,3.7,3.7,3.7,1.9,5.6,3.7,7.4,,40,109
428,Daniel Theis\theisda01,C,26,BOS,31,2,489,8.2,15.2,.542,1.5,3.7,.405,6.8,11.5,.586,3.5,4.8,.729,5.0,8.2,13.2,3.5,0.9,1.9,2.1,8.8,21.5,,125,106
429,Khyri Thomas\thomakh01,SG,22,DET,8,0,67,6.5,15.9,.409,4.3,8.7,.500,2.2,7.2,.300,4.3,6.5,.667,1.4,5.1,6.5,2.2,2.2,0.0,1.4,2.9,21.7,,117,110
430,Lance Thomas\thomala01,PF,30,NYK,17,5,257,3.9,10.9,.362,0.9,4.3,.217,3.0,6.6,.457,2.1,2.4,.846,1.7,6.6,8.2,1.7,2.1,0.6,1.9,6.7,10.9,,93,114
431,Klay Thompson\thompkl01,SG,28,GSW,42,42,1451,11.8,26.1,.453,3.8,10.5,.366,8.0,15.6,.512,2.8,3.5,.802,0.6,5.1,5.7,2.8,1.7,1.0,2.2,2.8,30.3,,106,111
432,Tristan Thompson\thomptr01,C,27,CLE,33,33,984,8.3,15.7,.531,0.0,0.0,,8.3,15.7,.531,2.7,4.2,.651,7.5,11.1,18.7,3.7,1.4,0.7,2.5,4.0,19.4,,118,116
433,Sindarius Thornwell\thornsi01,SG,24,LAC,26,0,139,3.8,8.9,.423,0.3,2.7,.125,3.4,6.2,.556,2.7,3.1,.889,0.7,7.5,8.2,3.1,1.0,0.7,3.8,8.2,10.6,,87,113
434,Anthony Tolliver\tollian01,PF,33,MIN,27,0,407,4.7,10.9,.435,3.8,9.5,.400,0.9,1.4,.667,1.5,2.1,.722,1.1,5.4,6.5,2.0,1.2,1.2,2.0,4.5,14.8,,113,113
435,Karl-Anthony Towns\townska01,C,23,MIN,42,42,1407,11.7,23.5,.499,2.5,6.5,.379,9.2,17.0,.544,6.2,7.5,.835,4.8,12.8,17.6,4.2,1.2,2.8,4.2,5.5,32.1,,115,106
436,Gary Trent\trentga02,SG,20,POR,5,0,30,8.1,27.4,.294,4.8,12.9,.375,3.2,14.5,.222,1.6,6.5,.250,0.0,6.5,6.5,1.6,0.0,1.6,1.6,1.6,22.6,,77,113
437,Allonzo Trier\trieral01,SG,23,NYK,35,3,772,7.5,17.1,.442,1.3,3.5,.375,6.2,13.6,.459,5.3,6.6,.802,1.1,5.0,6.1,3.9,0.8,0.7,3.8,3.4,21.7,,101,118
438,P.J. Tucker\tuckepj01,PF,33,HOU,41,41,1441,3.9,9.5,.415,2.8,7.0,.398,1.2,2.6,.459,0.7,1.2,.600,2.0,6.7,8.7,1.7,1.7,0.6,1.2,4.4,11.4,,115,113
439,Evan Turner\turneev01,PG,30,POR,42,2,1028,6.6,14.1,.468,0.3,1.7,.162,6.3,12.3,.511,2.0,2.9,.705,1.3,8.2,9.5,7.7,1.1,0.7,3.8,3.7,15.5,,101,110
440,Myles Turner\turnemy01,C,22,IND,37,37,1031,9.4,18.4,.509,1.3,3.3,.391,8.1,15.1,.535,2.7,3.9,.695,2.5,9.9,12.5,3.1,0.8,4.9,2.9,4.8,22.7,,107,101
441,Ekpe Udoh\udohek01,C,31,UTA,27,0,152,7.6,9.5,.800,0.0,0.0,,7.6,9.5,.800,1.9,3.8,.500,2.9,7.6,10.5,3.5,1.0,4.1,2.2,6.7,17.1,,134,103
