Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
11,Rick Barry*\barryri01,SF,35,HOU,72,,1816,8.5,20.1,.422,1.9,5.8,.330,6.6,14.4,.458,3.7,4.0,.935,1.4,4.8,6.2,7.0,2.1,0.7,4.0,4.8,22.6,,106,108
12,Tim Bassett\basseti01,PF,28,TOT,12,,164,3.3,9.3,.353,0.0,0.0,,3.3,9.3,.353,2.7,4.1,.667,3.0,6.0,9.0,3.8,2.2,0.0,2.4,7.3,9.3,,92,105
12,Tim Bassett\basseti01,PF,28,NJN,7,,92,3.9,10.8,.364,0.0,0.0,,3.9,10.8,.364,3.9,5.9,.667,3.4,5.4,8.9,2.0,2.5,0.0,2.0,6.9,11.8,,97,103
12,Tim Bassett\basseti01,PF,28,SAS,5,,72,2.4,7.3,.333,0.0,0.0,,2.4,7.3,.333,1.2,1.8,.667,2.4,6.7,9.1,6.1,1.8,0.0,3.0,7.9,6.1,,86,109
13,Billy Ray Bates\batesbi01,SG,23,POR,16,,235,14.9,30.3,.493,1.7,3.9,.421,13.3,26.3,.504,5.8,8.1,.718,2.7,3.3,6.0,6.4,2.9,0.4,4.1,5.4,37.3,,112,104
14,Ron Behagen\behagro01,PF,29,WSB,6,,64,6.6,16.8,.391,0.0,0.0,,6.6,16.8,.391,3.7,4.4,.833,4.4,5.8,10.2,5.1,0.0,2.9,2.9,10.2,16.8,,99,107
15,Kent Benson\bensoke01,C,25,TOT,73,,1891,7.3,15.1,.484,0.0,0.1,.200,7.3,15.0,.486,2.4,3.5,.702,3.1,8.0,11.1,4.4,1.8,2.3,3.8,6.0,17.1,,99,102
15,Kent Benson\bensoke01,C,25,MIL,56,,1389,7.2,14.5,.494,0.0,0.0,.000,7.2,14.5,.495,2.2,3.3,.680,3.2,8.0,11.2,4.3,1.8,2.5,3.6,6.0,16.6,,101,100
15,Kent Benson\bensoke01,C,25,DET,17,,502,7.7,16.7,.460,0.1,0.4,.250,7.6,16.3,.464,2.9,3.9,.750,2.7,8.0,10.7,4.6,1.7,1.6,4.6,6.1,18.4,,94,107
16,Del Beshore\beshode01,PG,23,CHI,68,,869,4.8,13.6,.352,0.5,1.4,.385,4.2,12.1,.348,3.1,4.7,.667,0.9,2.5,3.4,7.5,3.1,0.3,5.6,5.7,13.2,,80,107
17,Henry Bibby\bibbyhe01,PG,30,PHI,82,,2035,5.7,14.3,.401,0.3,1.2,.212,5.5,13.1,.418,5.2,6.5,.790,1.5,3.3,4.8,7.0,1.4,0.1,3.4,3.7,16.9,,102,105
18,Larry Bird*\birdla01,PF,23,BOS,82,82,2955,11.0,23.2,.474,0.9,2.3,.406,10.1,20.9,.481,4.8,5.7,.836,3.4,10.1,13.5,5.9,2.3,0.8,4.2,4.4,27.6,,109,98
19,Otis Birdsong\birdsot01,SG,24,KCK,82,,2885,12.6,24.9,.505,0.2,0.6,.278,12.4,24.3,.511,4.6,6.6,.694,2.7,2.6,5.3,3.3,2.2,0.4,2.9,3.6,30.0,,108,103
20,Ron Boone\boonero01,SG,33,TOT,81,,2392,8.3,18.8,.443,0.4,1.0,.380,7.9,17.7,.446,3.6,4.0,.893,1.1,3.5,4.7,6.3,2.0,0.1,4.0,4.8,20.6,,98,112
20,Ron Boone\boonero01,SG,33,LAL,6,,106,6.1,17.4,.350,0.0,0.0,,6.1,17.4,.350,2.6,3.0,.857,1.7,3.0,4.8,3.0,2.2,0.0,5.7,5.7,14.8,,74,106
20,Ron Boone\boonero01,SG,33,UTA,75,,2286,8.4,18.8,.447,0.4,1.1,.380,8.0,17.8,.451,3.6,4.1,.894,1.1,3.6,4.6,6.5,2.0,0.1,4.0,4.7,20.9,,99,112
21,Lawrence Boston\bostola01,PF,23,WSB,13,,125,9.0,19.5,.462,0.0,0.0,,9.0,19.5,.462,3.0,4.9,.615,7.1,7.5,14.6,0.7,1.5,0.7,3.0,9.4,21.0,,100,105
22,Tom Boswell\bosweto01,PF,26,TOT,79,,2077,8.1,14.3,.564,0.1,0.2,.500,7.9,14.1,.566,4.8,6.4,.755,3.4,6.9,10.3,3.8,0.7,0.9,4.2,6.3,21.0,,110,111
